epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.49,1.05786,2.79439,1.47382,0.00232,0.98462,0.11396,0.05504,0.73595,4.05162,1.27765,0.00195122,0.000650407,0.00195122,0.000650407,0.00195122,0.000650407,0.00195122,0.000650407
2,210.731,0.78609,2.56764,1.31256,0.00232,0.98462,0.21995,0.13634,0.75113,3.97289,1.27997,0.00387299,0.001291,0.00387299,0.001291,0.00387299,0.001291,0.00387299,0.001291
3,281.009,0.77591,2.3226,1.28529,0.27359,0.452,0.25061,0.16211,0.7891,3.62605,1.28811,0.00571555,0.00190518,0.00571555,0.00190518,0.00571555,0.00190518,0.00571555,0.00190518
4,345.651,0.71686,2.00526,1.26395,0.37616,0.47692,0.36551,0.23949,0.86964,3.75161,1.39723,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,413.589,0.76206,1.86305,1.31075,0.31079,0.55385,0.34574,0.23487,0.96276,4.17093,1.55939,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,477.02,0.73758,1.8097,1.25949,0.46137,0.41538,0.30708,0.16997,1.27328,4.61849,1.78228,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,541.562,0.65622,1.89194,1.21058,0.66744,0.69231,0.7218,0.54395,0.7879,2.91717,1.25349,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,605.54,0.7238,1.67428,1.25832,0.62587,0.73846,0.73891,0.5601,0.77024,3.01292,1.19843,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,669.987,0.68869,1.58437,1.2272,0.58121,0.8,0.71558,0.59425,0.62135,2.7423,1.11773,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,733.622,0.73368,1.55064,1.28748,0.68791,0.66154,0.73139,0.56704,0.6548,2.50683,1.17818,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,796.83,0.73809,1.68504,1.31402,0.48878,0.63077,0.56177,0.36707,1.06863,3.08467,1.61275,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
